Alabama 35625 4779736 52419.02
Alaska 46778 710231 663267.26
Arizona 35979 6392017 113998.3
Arkansas 34723 2915918 53178.62
California 44980 37253956 163695.57
Colorado 45135 5029196 104093.57
Connecticut 58908 3574097 5543.33
Delaware 41940 897934 2489.27
Florida 40344 18801310 65754.59
Georgia 36869 9687653 59424.77
Hawaii 44024 1360301 10930.98
Idaho 33749 1567582 83570.08
Illinois 44815 12830632 57914.38
Indiana 36902 6483802 36417.73
Iowa 42126 3046355 56271.55
Kansas 41835 2853118 82276.84
Kentucky 35041 4339367 40409.02
Louisiana 39413 4533372 51839.7
Maine 39481 1328361 35384.65
Maryland 51971 5773552 12406.68
Massachusetts 54687 6547629 10554.57
Michigan 37497 9883640 96716.11
Minnesota 46227 5303925 86938.87
Mississippi 33073 2967297 48430.19
Missouri 39049 5988927 69704.31
Montana 37370 989415 147042.4
Nebraska 43143 1826341 77353.73
Nevada 37361 2700551 110560.71
New_Hampshire 47058 1316470 9349.94
New_Jersey 53628 8791894 8721.3
New_Mexico 35079 2059179 121589.48
New_York 52095 19378102 54556
North_Carolina 37049 9535483 53818.51
North_Dakota 51893 672591 70699.79
Ohio 39289 11536504 44824.9
Oklahoma 39006 3751351 69898.19
Oregon 38786 3831074 98380.64
Pennsylvania 43616 12702379 46055.24
Rhode_Island 44990 1052567 1545.05
South_Carolina 34266 4625364 32020.2
South_Dakota 43659 814180 77116.49
Tennessee 37678 6346105 42143.27
Texas 41471 25145561 268580.82
Utah 34601 2763885 84898.83
Vermont 42994 625741 9614.26
Virginia 47082 8001024 42774.2
Washington 45413 6724540 71299.64
West_Virginia 34477 1852994 24229.76
Wisconsin 40537 5686986 65497.82
Wyoming 48670 563626 97813.56
